Instant,Date,Season,Year,Month,Holiday,Weekday,Workingday,Weathersit,Temp_F,Temp_C,Temp_Normalized,Feelslike_Temp_F,Feelslike_Temp_C,Feelslike_Temp_Normalized,Humidity,Humidity_Normalized,Windspeed,Windspeed_Normalized,Not_Registered,Registered,Count
1,1/1/11,1,0,1,0,6,0,2,57.3995246,14.110847,0.344167,64.72625,18.18125,0.363625,80.5833,0.805833,6.679664928,0.160446,331,654,985
2,1/2/11,1,0,1,0,0,0,2,58.8246764,14.902598,0.363478,63.83651,17.68695,0.353739,69.6087,0.696087,10.34714011,0.248539,131,670,801
3,1/3/11,1,0,1,0,1,1,1,46.4916632,8.050924,0.196364,49.04645,9.47025,0.189405,43.7273,0.437273,10.33756478,0.248309,120,1229,1349
4,1/4/11,1,0,1,0,2,1,1,46.76,8.2,0.2,51.09098,10.6061,0.212122,59.0435,0.590435,6.67342015,0.160296,108,1454,1562
5,1/5/11,1,0,1,0,3,1,1,48.7494266,9.305237,0.226957,52.6343,11.4635,0.22927,43.6957,0.436957,7.780994073,0.1869,82,1518,1600
6,1/6/11,1,0,1,0,4,1,1,47.0808824,8.378268,0.204348,52.98881,11.66045,0.233209,51.8261,0.518261,3.728765599,0.0895652,88,1518,1606
7,1/7/11,1,0,1,0,5,1,2,46.5033236,8.057402,0.196522,50.79551,10.44195,0.208839,49.8696,0.498696,7.024376704,0.168726,148,1362,1510
8,1/8/11,1,0,1,0,6,0,2,44.177,6.765,0.165,46.60286,8.1127,0.162254,53.5833,0.535833,11.10754598,0.266804,68,891,959
9,1/9/11,1,0,1,0,0,0,1,42.2089754,5.671653,0.138333,42.45575,5.80875,0.116175,43.4167,0.434167,15.06865064,0.36195,54,768,822
10,1/10/11,1,0,1,0,1,1,1,43.1314754,6.184153,0.150833,45.57992,7.5444,0.150888,48.2917,0.482917,9.295019817,0.223267,41,1280,1321
11,1/11/11,1,0,1,0,2,1,2,44.4789158,6.932731,0.169091,49.23176,9.5732,0.191464,68.6364,0.686364,5.084581959,0.122132,43,1220,1263
12,1/12/11,1,0,1,0,3,1,1,44.7472526,7.081807,0.172727,46.44257,8.02365,0.160473,59.9545,0.599545,12.6821877,0.304627,25,1137,1162
13,1/13/11,1,0,1,0,4,1,1,44.177,6.765,0.165,45.57947,7.54415,0.150883,47.0417,0.470417,12.53118896,0.301,38,1368,1406
14,1/14/11,1,0,1,0,5,1,1,43.872206,6.59567,0.16087,48.95717,9.42065,0.188413,53.7826,0.537826,5.26842824,0.126548,54,1367,1421
15,1/15/11,1,0,1,0,6,0,2,49.2199754,9.566653,0.233333,54.33008,12.4056,0.248112,49.875,0.49875,6.576293027,0.157963,222,1026,1248
16,1/16/11,1,0,1,0,0,0,1,49.0970246,9.498347,0.231667,53.07953,11.71085,0.234217,48.375,0.48375,7.84481571,0.188433,251,953,1204
17,1/17/11,1,0,1,1,1,0,2,44.9764754,7.209153,0.175833,47.90939,8.83855,0.176771,53.75,0.5375,8.077288,0.194017,117,883,1000
18,1/18/11,1,0,1,0,2,1,2,47.9900246,8.883347,0.216667,52.90997,11.61665,0.232333,86.1667,0.861667,6.110515811,0.146775,9,674,683
19,1/19/11,1,0,1,0,3,1,2,53.5624412,11.979134,0.292174,58.85798,14.9211,0.298422,74.1739,0.741739,8.672623555,0.208317,78,1572,1650
20,1/20/11,1,0,1,0,4,1,2,51.3110246,10.728347,0.261667,54.9545,12.7525,0.25505,53.8333,0.538333,8.155847314,0.195904,83,1844,1927
21,1/21/11,1,0,1,0,5,1,1,45.0995,7.2775,0.1775,46.20497,7.89165,0.157833,45.7083,0.457083,14.70612043,0.353242,75,1468,1543
22,1/22/11,1,0,1,0,6,0,1,36.36382352,2.4243464,0.0591304,39.116264,3.95348,0.0790696,40,0.4,7.159430448,0.17197,93,888,981
23,1/23/11,1,0,1,0,0,0,1,39.12330146,3.9573897,0.0965217,40.895519,4.941955,0.0988391,43.6522,0.436522,10.26641594,0.2466,150,836,986
24,1/24/11,1,0,1,0,1,1,1,39.18747794,3.9930433,0.0973913,42.6137,5.8965,0.11793,49.1739,0.491739,6.591571919,0.15833,86,1330,1416
25,1/25/11,1,0,1,0,2,1,2,48.4926764,9.162598,0.223478,53.10734,11.7263,0.234526,61.6957,0.616957,5.403648511,0.129796,186,1799,1985
26,1/26/11,1,0,1,0,3,1,3,48.0515,8.9175,0.2175,50.324,10.18,0.2036,86.25,0.8625,12.23352118,0.29385,34,472,506
27,1/27/11,1,0,1,0,4,1,1,46.391,7.995,0.195,51.773,10.985,0.2197,68.75,0.6875,4.739245705,0.113837,15,416,431
28,1/28/11,1,0,1,0,5,1,2,47.0166764,8.342598,0.203478,52.09853,11.16585,0.223317,79.3043,0.793043,5.133207968,0.1233,38,1129,1167
29,1/29/11,1,0,1,0,6,0,1,46.5033236,8.057402,0.196522,51.09134,10.6063,0.212126,65.1739,0.651739,6.051814893,0.145365,123,975,1098
30,1/30/11,1,0,1,0,0,0,1,47.9793236,8.877402,0.216522,54.52898,12.5161,0.250322,72.2174,0.722174,3.080033024,0.0739826,140,956,1096
31,1/31/11,1,0,1,0,1,1,2,45.3454754,7.414153,0.180833,48.7625,9.3125,0.18625,60.375,0.60375,7.793150576,0.187192,42,1459,1501
32,2/1/11,1,0,2,0,2,1,2,46.1824412,7.879134,0.192174,53.1077,11.7265,0.23453,82.9565,0.829565,2.215356007,0.053213,47,1313,1360
33,2/2/11,1,0,2,0,3,1,2,51.188,10.66,0.26,54.89753,12.72085,0.254417,77.5417,0.775417,11.00363286,0.264308,72,1454,1526
34,2/3/11,1,0,2,0,4,1,1,45.7974266,7.665237,0.186957,48.00902,8.8939,0.177878,43.7826,0.437826,11.56333155,0.277752,61,1489,1550
35,2/4/11,1,0,2,0,5,1,2,47.5942352,8.663464,0.211304,52.57283,11.42935,0.228587,58.5217,0.585217,5.322174967,0.127839,88,1620,1708
36,2/5/11,1,0,2,0,6,0,2,49.2199754,9.566653,0.233333,53.87522,12.1529,0.243058,92.9167,0.929167,6.706017894,0.161079,100,905,1005
37,2/6/11,1,0,2,0,0,0,1,53.0944754,11.719153,0.285833,58.25039,14.58355,0.291671,56.8333,0.568333,5.903397323,0.1418,354,1269,1623
38,2/7/11,1,0,2,0,1,1,1,52.0490246,11.138347,0.271667,59.32922,15.1829,0.303658,73.8333,0.738333,1.890431852,0.0454083,120,1592,1712
39,2/8/11,1,0,2,0,2,1,1,48.2974754,9.054153,0.220833,49.84214,9.9123,0.198246,53.7917,0.537917,15.06865064,0.36195,64,1466,1530
40,2/9/11,1,0,2,0,3,1,2,41.9469854,5.526103,0.134783,44.98547,7.21415,0.144283,49.4783,0.494783,7.861718244,0.188839,53,1552,1605
41,2/10/11,1,0,2,0,4,1,1,42.6528824,5.918268,0.144348,45.45932,7.4774,0.149548,43.7391,0.437391,9.239566183,0.221935,47,1491,1538
42,2/11/11,1,0,2,0,5,1,1,45.9549158,7.752731,0.189091,51.21581,10.67545,0.213509,50.6364,0.506364,4.519138077,0.10855,149,1597,1746
43,2/12/11,1,0,2,0,6,0,1,48.4205,9.1225,0.2225,52.96586,11.6477,0.232954,54.4167,0.544167,8.466545863,0.203367,288,1184,1472
44,2/13/11,1,0,2,0,0,0,1,55.3593236,12.977402,0.316522,61.17017,16.20565,0.324113,45.7391,0.457391,10.86104375,0.260883,397,1192,1589
45,2/14/11,1,0,2,0,1,1,1,62.627,17.015,0.415,67.8515,19.9175,0.39835,37.5833,0.375833,17.3982861,0.417908,208,1705,1913
