Instant,Date,Season,Year,Month,Hour,Holiday,Weekday,Workingday,Weathersit,Temp_F,Temp_C,Temp_Normalized,Feelslike_Temp_F,Feelslike_Temp_C,Feelslike_Temp_Normalized,Humidity,Windspeed,Not_Registered,Registered,Count
1,1/1/11,1,0,1,0,0,6,0,1,49.712,9.84,0.24,57.911,14.395,0.2879,81,0,3,13,16
2,1/1/11,1,0,1,1,0,6,0,1,48.236,9.02,0.22,56.543,13.635,0.2727,80,0,8,32,40
3,1/1/11,1,0,1,2,0,6,0,1,48.236,9.02,0.22,56.543,13.635,0.2727,80,0,5,27,32
4,1/1/11,1,0,1,3,0,6,0,1,49.712,9.84,0.24,57.911,14.395,0.2879,75,0,3,10,13
5,1/1/11,1,0,1,4,0,6,0,1,49.712,9.84,0.24,57.911,14.395,0.2879,75,0,0,1,1
6,1/1/11,1,0,1,5,0,6,0,2,49.712,9.84,0.24,55.184,12.88,0.2576,75,3.730214387,0,1,1
7,1/1/11,1,0,1,6,0,6,0,1,48.236,9.02,0.22,56.543,13.635,0.2727,80,0,2,0,2
8,1/1/11,1,0,1,7,0,6,0,1,46.76,8.2,0.2,55.184,12.88,0.2576,86,0,1,2,3
9,1/1/11,1,0,1,8,0,6,0,1,49.712,9.84,0.24,57.911,14.395,0.2879,75,0,1,7,8
10,1/1/11,1,0,1,9,0,6,0,1,55.616,13.12,0.32,63.365,17.425,0.3485,76,0,8,6,14
11,1/1/11,1,0,1,10,0,6,0,1,60.044,15.58,0.38,67.451,19.695,0.3939,76,10.56200212,12,24,36
12,1/1/11,1,0,1,11,0,6,0,1,58.568,14.76,0.36,61.997,16.665,0.3333,81,11.80679465,26,30,56
13,1/1/11,1,0,1,12,0,6,0,1,62.996,17.22,0.42,70.178,21.21,0.4242,77,11.80679465,29,55,84
14,1/1/11,1,0,1,13,0,6,0,2,65.948,18.86,0.46,72.905,22.725,0.4545,72,12.42710931,47,47,94
15,1/1/11,1,0,1,14,0,6,0,2,65.948,18.86,0.46,72.905,22.725,0.4545,72,11.80679465,35,71,106
16,1/1/11,1,0,1,15,0,6,0,2,64.472,18.04,0.44,71.546,21.97,0.4394,77,12.42710931,40,70,110
17,1/1/11,1,0,1,16,0,6,0,2,62.996,17.22,0.42,70.178,21.21,0.4242,82,12.42710931,41,52,93
18,1/1/11,1,0,1,17,0,6,0,2,64.472,18.04,0.44,71.546,21.97,0.4394,82,11.80679465,15,52,67
19,1/1/11,1,0,1,18,0,6,0,3,62.996,17.22,0.42,70.178,21.21,0.4242,88,10.56200212,9,26,35
20,1/1/11,1,0,1,19,0,6,0,3,62.996,17.22,0.42,70.178,21.21,0.4242,88,10.56200212,6,31,37
21,1/1/11,1,0,1,20,0,6,0,2,61.52,16.4,0.4,68.819,20.455,0.4091,87,10.56200212,11,25,36
22,1/1/11,1,0,1,21,0,6,0,2,61.52,16.4,0.4,68.819,20.455,0.4091,87,8.076580258,3,31,34
23,1/1/11,1,0,1,22,0,6,0,2,61.52,16.4,0.4,68.819,20.455,0.4091,94,9.321372782,11,17,28
24,1/1/11,1,0,1,23,0,6,0,2,65.948,18.86,0.46,72.905,22.725,0.4545,88,12.42710931,15,24,39
25,1/2/11,1,0,1,0,0,0,0,2,65.948,18.86,0.46,72.905,22.725,0.4545,88,12.42710931,4,13,17
26,1/2/11,1,0,1,1,0,0,0,2,64.472,18.04,0.44,71.546,21.97,0.4394,94,10.56200212,1,16,17
27,1/2/11,1,0,1,2,0,0,0,2,62.996,17.22,0.42,70.178,21.21,0.4242,100,11.80679465,1,8,9
28,1/2/11,1,0,1,3,0,0,0,2,65.948,18.86,0.46,72.905,22.725,0.4545,94,8.076580258,2,4,6
29,1/2/11,1,0,1,4,0,0,0,2,65.948,18.86,0.46,72.905,22.725,0.4545,94,8.076580258,2,1,3
30,1/2/11,1,0,1,6,0,0,0,3,62.996,17.22,0.42,70.178,21.21,0.4242,77,12.42710931,0,2,2
31,1/2/11,1,0,1,7,0,0,0,2,61.52,16.4,0.4,68.819,20.455,0.4091,76,8.076580258,0,1,1
32,1/2/11,1,0,1,8,0,0,0,3,61.52,16.4,0.4,68.819,20.455,0.4091,71,9.321372782,0,8,8
33,1/2/11,1,0,1,9,0,0,0,2,60.044,15.58,0.38,67.451,19.695,0.3939,76,9.321372782,1,19,20
34,1/2/11,1,0,1,10,0,0,0,2,58.568,14.76,0.36,63.365,17.425,0.3485,81,9.321372782,7,46,53
35,1/2/11,1,0,1,11,0,0,0,2,58.568,14.76,0.36,61.997,16.665,0.3333,71,10.56200212,16,54,70
36,1/2/11,1,0,1,12,0,0,0,2,58.568,14.76,0.36,61.997,16.665,0.3333,66,12.42710931,20,73,93
37,1/2/11,1,0,1,13,0,0,0,2,58.568,14.76,0.36,63.365,17.425,0.3485,66,5.591158395,11,64,75
38,1/2/11,1,0,1,14,0,0,0,3,58.568,14.76,0.36,63.365,17.425,0.3485,76,8.076580258,4,55,59
39,1/2/11,1,0,1,15,0,0,0,3,57.092,13.94,0.34,61.997,16.665,0.3333,81,6.835950919,19,55,74
40,1/2/11,1,0,1,16,0,0,0,3,57.092,13.94,0.34,61.997,16.665,0.3333,71,6.835950919,9,67,76
41,1/2/11,1,0,1,17,0,0,0,1,57.092,13.94,0.34,61.997,16.665,0.3333,57,8.076580258,7,58,65
42,1/2/11,1,0,1,18,0,0,0,2,58.568,14.76,0.36,61.997,16.665,0.3333,46,13.67190184,10,43,53
43,1/2/11,1,0,1,19,0,0,0,1,55.616,13.12,0.32,57.911,14.395,0.2879,42,18.64274556,1,29,30
44,1/2/11,1,0,1,20,0,0,0,1,54.14,12.3,0.3,56.543,13.635,0.2727,39,14.91253118,5,17,22
45,1/2/11,1,0,1,21,0,0,0,1,51.188,10.66,0.26,52.457,11.365,0.2273,44,13.67190184,11,20,31
46,1/2/11,1,0,1,22,0,0,0,1,49.712,9.84,0.24,51.089,10.605,0.2121,44,12.42710931,0,9,9
47,1/2/11,1,0,1,23,0,0,0,1,48.236,9.02,0.22,52.457,11.365,0.2273,47,6.835950919,0,8,8
48,1/3/11,1,0,1,0,0,1,1,1,48.236,9.02,0.22,49.73,9.85,0.197,44,14.91253118,0,5,5
49,1/3/11,1,0,1,1,0,1,1,1,46.76,8.2,0.2,47.003,8.335,0.1667,44,17.39795304,0,2,2
50,1/3/11,1,0,1,4,0,1,1,1,43.808,6.56,0.16,44.276,6.82,0.1364,47,16.1573237,0,1,1
51,1/3/11,1,0,1,5,0,1,1,1,43.808,6.56,0.16,44.276,6.82,0.1364,47,11.80679465,0,3,3
52,1/3/11,1,0,1,6,0,1,1,1,42.332,5.74,0.14,41.549,5.305,0.1061,50,16.1573237,0,30,30
53,1/3/11,1,0,1,7,0,1,1,1,42.332,5.74,0.14,44.276,6.82,0.1364,50,8.076580258,1,63,64
54,1/3/11,1,0,1,8,0,1,1,1,42.332,5.74,0.14,42.908,6.06,0.1212,50,11.80679465,1,153,154
